Designator,Mid X,Mid Y,Rotation,Layer
S1,120.25,-69.375,0.0,top
S10,194.25,-87.875,0.0,top
S11,120.25,-106.375,0.0,top
S12,138.75,-101.75,0.0,top
S13,157.25,-97.125,0.0,top
S14,175.75,-101.75,0.0,top
S15,194.25,-106.375,0.0,top
S16,175.75,-120.25,0.0,top
S17,194.25,-124.875,0.0,top
S18,212.75,-129.5,0.0,top
S2,138.75,-64.75,0.0,top
S3,157.25,-60.125,0.0,top
S4,175.75,-64.75,0.0,top
S5,194.25,-69.375,0.0,top
S6,120.25,-87.875,0.0,top
S7,138.75,-83.25,0.0,top
S8,157.25,-78.625,0.0,top
S9,175.75,-83.25,0.0,top
