Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.3125,-68.21875,90.0,top
S1,85.5625,-31.21875,90.0,top
S10,159.5625,-49.71875,90.0,top
S11,85.5625,-68.21875,90.0,top
S12,104.0625,-68.21875,90.0,top
S13,122.5625,-68.21875,90.0,top
S14,141.0625,-68.21875,90.0,top
S15,159.5625,-68.21875,90.0,top
S2,104.0625,-31.21875,90.0,top
S3,122.5625,-31.21875,90.0,top
S4,141.0625,-31.21875,90.0,top
S5,159.5625,-31.21875,90.0,top
S6,85.5625,-49.71875,90.0,top
S7,104.0625,-49.71875,90.0,top
S8,122.5625,-49.71875,90.0,top
S9,141.0625,-49.71875,90.0,top
SW1,166.5,-68.53125,90.0,top
S_RST1,145.3325,-25.1625,180.0,top
U1,157.9325,-38.83875,0.0,bottom
