Designator,Mid X,Mid Y,Rotation,Layer
BT1,113.890625,-87.875,90.0,top
S1,50.875,-50.875,90.0,top
S10,124.875,-69.375,90.0,top
S11,50.875,-87.875,90.0,top
S12,69.375,-87.875,90.0,top
S13,87.875,-87.875,90.0,top
S14,106.375,-87.875,90.0,top
S15,124.875,-87.875,90.0,top
S16,97.125,-106.375,180.0,top
S17,115.625,-106.375,180.0,top
S18,134.125,-106.375,180.0,top
S2,69.375,-50.875,90.0,top
S3,87.875,-50.875,90.0,top
S4,106.375,-50.875,90.0,top
S5,124.875,-50.875,90.0,top
S6,50.875,-69.375,90.0,top
S7,69.375,-69.375,90.0,top
S8,87.875,-69.375,90.0,top
S9,106.375,-69.375,90.0,top
SW1,131.8125,-87.875,90.0,top
U1,122.5625,-58.74125,0.0,bottom
