Designator,Mid X,Mid Y,Rotation,Layer
BT1,71.244375,-87.842626,90.0,bottom
S1,134.26,-50.842626,270.0,top
S10,60.26,-69.342626,270.0,top
S11,134.26,-87.842626,270.0,top
S12,115.76,-87.842626,270.0,top
S13,97.26,-87.842626,270.0,top
S14,78.76,-87.842626,270.0,top
S15,60.26,-87.842626,270.0,top
S16,88.01,-106.342626,180.0,top
S17,69.51,-106.342626,180.0,top
S18,51.01,-106.342626,180.0,top
S2,115.76,-50.842626,270.0,top
S3,97.26,-50.842626,270.0,top
S4,78.76,-50.842626,270.0,top
S5,60.26,-50.842626,270.0,top
S6,134.26,-69.342626,270.0,top
S7,115.76,-69.342626,270.0,top
S8,97.26,-69.342626,270.0,top
S9,78.76,-69.342626,270.0,top
SW1,53.3225,-87.842626,90.0,bottom
U1,62.5725,-58.708876,0.0,bottom
